,FIPS,civil_unemploy_1990,civil_unemploy_2000,civil_unemploy_2010,median_HH_inc_1990,median_HH_inc_2000,median_HH_inc_2010,femaleHH_ns_pct_1990,femaleHH_ns_pct_2000,femaleHH_ns_pct_2010,vacant_HHunit_1990,vacant_HHunit_2000,vacant_HHunit_2010,owner_occ_pct_1990,owner_occ_pct_2000,owner_occ_pct_2010,eduattain_HS_1990,eduattain_HS_2000,eduattain_HS_2010,pctfam_pover_1990,pctfam_pover_2000,pctfam_pover_2010,healthfac_1999,healthfac_2005,healthfac_2005_1999,population_2000
1328,37157,5.3,3.6,9.9,25402,33784,39231,16.99566292,12.8,14.4,6.200745997,8,11.4,74.3,73.7,69.8,59.2,33.3,35.5,9.282700422,10.2,12.6,1.490296754,1.58819946,0.097902706,91928
1329,37159,4,4.1,9.4,26354,37494,43596,14.87039124,11.9,14.1,8.10997752,7.5,11.7,73.6,73.6,69.6,66,33.5,34.3,6.789309491,8.1,12.9,1.311953353,1.496087157,0.184133804,130340
1330,37161,5.3,3.7,12.2,23828,31122,35364,15.47936893,11.7,13.3,11.98255353,14.7,18.9,73,74.5,72,59.4,33.3,33.1,8.959172629,10.4,15.5,1.160590788,1.383169844,0.222579055,62899
1331,37163,4.7,4.3,9.3,19709,31793,35740,19.14183913,14.3,15.8,8.637856435,11.4,11.9,72.9,73.5,69.5,61.3,35.3,35.3,17.41509858,13.5,15.4,0,1.113678297,1.113678297,60161
1332,37165,8.8,5.8,14,22561,31010,29368,26.06175454,20.4,22.4,7.226271651,8.8,10.4,69.4,69.2,63.7,60.7,29.5,35.3,15.62744004,17.4,26,1.944552475,2.361242291,0.416689816,35998
1333,37167,4.7,2.9,9.8,25374,36898,44802,13.1956972,10.5,11.8,9.450660308,9.6,13,76.6,76.3,72.7,62.1,35.9,36.4,7.877984085,8.1,7.8,1.56626506,1.755593804,0.189328744,58100
1334,37169,4.3,4,9.5,27945,38808,42689,11.54962802,9.7,10.9,6.840369393,8.7,11.4,81,82.1,78,62.8,40.1,42.6,7.3751555,6.9,9.3,0.782805126,0.961732012,0.178926886,44711
1335,37171,4.6,2.1,8.2,23444,33046,37294,12.82599167,9.7,11.4,6.801936823,8.5,11.1,76.6,76.3,72.7,57.3,29.5,30.6,8.495119008,9.1,12.7,1.516449262,1.769190806,0.252741544,71219
1336,37175,3.6,2.7,7.3,25179,38587,39408,10.63233725,8.7,9.2,23.02799969,20.8,24.9,78.9,79.4,75.5,72.1,30,29.6,9.72513089,6.6,9.5,1.636326447,2.181768596,0.545442149,29334
1337,37179,2.9,3,7.3,30957,50638,63386,13.01742456,9.8,10.7,4.7236671,5,6.9,75.9,80.5,81.3,69,30.8,27.9,6.161616162,5.8,6.5,0.816643353,1.196665508,0.380022154,123677
1338,37181,8.2,5.1,9.3,21555,31301,34025,24.60483717,20.4,22.2,10.01715048,11,13.4,65.3,66.3,61.9,57.1,34.2,35.4,15.33018868,16.3,21.6,1.536527448,1.862457513,0.325930065,42954
1339,37183,2.6,2.9,6.3,36222,54988,63770,15.13652173,9.8,11.5,6.437063213,6.5,7,60.9,65.9,65.1,85.4,17.8,17.5,5.452142107,4.9,6.7,2.121539358,2.648738703,0.527199345,627846
1340,37189,4.5,5.2,7.8,20252,32611,31967,11.58645276,6.8,6.6,29.91606101,28.6,36.5,64.2,62.9,56.8,72,23.9,22.9,10.12189293,7.2,11.4,2.365616583,2.599836046,0.234219464,42695
1341,37191,4.6,3.6,9.3,23560,33942,41224,19.29143852,15.4,16.7,6.569916166,9.9,9.7,62.7,65.4,62.4,71.2,32.5,31,11.94618834,10.2,13.7,1.508881222,1.738301759,0.229420537,113329
1342,37193,3.9,2.4,10.1,22261,34258,33438,12.93074036,9.4,10.5,7.768429487,8.9,14.2,79.4,77.9,74.4,54.1,31.5,32.7,10.66370926,8.8,14.8,1.340809361,1.569356412,0.22854705,65632
1343,37195,8.1,4.6,11.1,24021,33116,38596,23.18229715,16.5,17.9,5.884779836,6.9,10,59.3,61.2,60.1,62.2,31.7,33.2,16.09956236,13.8,16.9,1.828921343,1.950849432,0.12192809,73814
1344,37197,4.6,2,7.1,25062,36660,39807,12.25335223,9,10.5,6.601656219,8.3,10.7,81.2,80.3,76.2,58.9,36.9,38.1,9.713547275,7.1,10.9,0,0,0,36348
